"College","Location","Country","Intake","Course","Fees per year","Duration of course","Plustwo","IELTS(9)","TOEFL(120)","PTE(90)","Accomodation","Scholarship","Internship&placement","Partime job","Stayback","Higher studies possible"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Diploma in Fashion Marketing","INR 14.32L","2 yrs","35%","6.5","88","61","INR 5.40L","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Bachelor of Business Administration in Marketing Management","INR 12.66L","4 yrs","35%","6.5","88","61","INR 1.9L","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Bachelor of Business Administration in Accounting","INR 14.33L","4 yrs","35%","6.5","20","61","INR 5.40L","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","Bachelor of Science (Honours) in Health Science","INR 14.32L","4 yrs","35%","6.5","20","61","INR 5.40L","No","Yes","Yes","Yes","Yes"
"Kwantlen-Polytechnic-University","Surrey","Canada","Jan/may/ Sep","BA in Psychology","INR 13.72","4 yrs","35%","6.5","88","61","","No","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Arts in Philosophy","INR 11L","4 yrs","73%","6.5","","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Diploma in Tourism Management","INR 10L","2 yrs","73%","6.5","","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Diploma in Practical Nursing","INR 10L","2 yrs","60%","6.5","88","58","","No","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Business Administration","INR 13L","4 yrs","73%","6.5","20","55","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Arts in Psychology","INR 13L","4 yrs","73%","6.5","88","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Arts in English","INR 12.42L","4 yrs","73%","6.5","","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Science in Nursing","INR 13L","4 yrs","73%","6.5","20","55","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Tourism Management in Entrepreneurship","INR 11L","4 yrs","35%","6.5","","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Thompson-Rivers-University","kamloops","Canada","Jan/May/Sep","Bachelor of Tourism Management in Tourism Studies","INR 11L","4 yrs","73%","6.5","","58","","Yes(Max upto 60k)","Yes","Yes","Yes","Yes"
"Okanagan-College","Kelowna","Canada","Jan/May/Sep","Bachelor of Business Administration","INR 9.67L","4 yrs","70%","6.5","79","58","","No","Yes","Yes","Yes","Yes"
"Okanagan-College","Kelowna","Canada","Jan/May/Sep","Bachelor of Computer Information Systems","INR 9.67L","4 yrs","60%","6","79","56","","No","Yes","Yes","Yes","Yes"
"Northern-lights-College","DawsonCreek","Canada","Jan/Sep","Diploma in Business Management","INR 7L","1.2 yrs","60%","6","78","57","","No","Yes","Yes","Yes","Yes"
"Northern-lights-College","DawsonCreek","Canada","Jan/Sep","Diploma in Practical Nursing","INR 10L","1.10 yrs","60%","6","78","57","","No","Yes","Yes","Yes","Yes"
"Northern-lights-College","DawsonCreek","Canada","Jan/Sep","Diploma in Criminology","INR 7L","2 yrs","60%","6","78","57","","No","Yes","Yes","Yes","Yes"
"University-of-Northern-British-Columbia","PrinceGeorge","Canada","Jan/may/Sep","Bachelor of Commerce in Finance","INR 14.97L","4 yrs","61%","6","90","65","","Yes(Max upto 3.3L)","Yes","Yes","Yes","Yes"
"University-of-Northern-British-Columbia","PrinceGeorge","Canada","Jan/may/Sep","Bachelor of Arts in Economics","INR 15.64L","4 yrs","35%","6","90","65","","Yes(Max upto 3.3L)","Yes","Yes","Yes","Yes"
"University-of-Northern-British-Columbia","PrinceGeorge","Canada","Jan/may/Sep","BSc in Computer Science","INR 14.97L","4 yrs","61%","6","20","60","","Yes(Max upto 3.3L)","Yes","Yes","Yes","Yes"
"University-of-Northern-British-Columbia","PrinceGeorge","Canada","Jan/may/Sep","BSc Biology","INR 16L","4 yrs","35%","6.5","90","65","","Yes(Max upto 3.3L)","Yes","Yes","Yes","Yes"
"Vancouver Community College","Vancouver","Canada","Jan/May/Sep","Diploma in Hospitality Management","INR 10L","2 yrs","35%","5.5","20","","","No","Yes","Yes","Yes","Yes"
"Vancouver Community College","Vancouver","Canada","Jan/May/Sep","Diploma in Graphic Design","INR 26L","2 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Bachelor of Technology in Forensic Investigation","INR 36.92L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Bachelor of Engineering in Electrical Engineering","INR 36.92L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Bachelor of Engineering in Mechanical Engineering","INR 36.92L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Bachelor of Engineering in Mining and Mineral Engineering","INR 36.92L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Diploma in Marketing Management","INR 26.37L","2 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"British-Columbia Institute of Technology","Vancouver","Canada","Jan/May/Sep","Bachelor of Interior Design","INR 32.67L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Royal-Roads-University","Victoria","Canada","Jan/May/Sep","Bachelor of Business Administration in Sustainability and International Business","INR 14.49L","4 yrs","35%","6","79","60","","No","Yes","Yes","Yes","Yes"
"Royal-Roads-University","Victoria","Canada","Jan/May/Sep","Bachelor of Arts in Global Tourism Management","INR 13.93L","4 yrs","35%","6","79","55","","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Bachelor of Media Arts","INR 5.08L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Bachelor of Agricultural Science in Horticulture","INR 3.02L","4 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Graphic and Digital Design Diploma","INR 2.60L","2 yrs","35%","6.5","88","61","INR 4.88L","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Diploma in Criminal Justice","INR 2.90L","2 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Diploma in Business Administration (Aviation)","INR 1.39L","2 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"University-of-the-Fraser-Valley","Abbotsford","Canada","Jan","Diploma in Automation and Robotics Technician","INR 3.40 L","1 yrs","35%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","Bachelor of Arts in Communication","INR 19.9L","4 yrs","50%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","Bachelor of Applied Science in Engineering Science (Honours)","INR 19.97L","3 yrs","50%","6.5","88","65","INR 15.36L","Yes(Max upto 6.1L)","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","BSc in Computing Science","INR 19.97L","4 yrs","50%","6","20","61","INR 10.55L","Yes(Max upto 6.1L)","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","Bachelor of Science in Data Science","INR 19.97L","4 yrs","50%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","Bachelor of Science in Software Systems","INR 19.97L","4 yrs","50%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Simon-Fraser-University","Burnaby","Canada","Jan/may/ Sep","Bachelor of Arts in Art, Performance and Cinema Studies","INR 19.97L","4 yrs","50%","6.5","","","","No","Yes","Yes","Yes","Yes"
"Manitoba-Institute-of-Trades-and-Technology","Winnipeg","Canada","Jan","Diploma in Software Developer","INR 11.57L","1 yrs","35%","6","78","54","INR 2.60L","No","Yes","Yes","Yes","Yes"
"Manitoba-Institute-of-Trades-and-Technology","Winnipeg","Canada","Jan/May/Sep","Cyber Defence and Cloud Administration Diploma","INR 10.61L","2 yrs","35%","5.5","20","54","INR 1L","No","Yes","Yes","Yes","Yes"
"Manitoba-Institute-of-Trades-and-Technology","Winnipeg","Canada","Jan/May/Sep","Diploma in Hospitality Management","INR 10.79L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Manitoba-Institute-of-Trades-and-Technology","Winnipeg","Canada","Jan/May/Sep","Diploma in Network and Systems Administrator","INR 7.21L","2 yrs","35%","6","","","","No","Yes","Yes","Yes","Yes"
"Red-River","Winnipeg","Canada","Jan/may/Sep","Mechanical Engineering Technology- Diploma","INR 11.12","2.4 yrs","35%","6.5","79","","INR 6.5L","No","Yes","Yes","Yes","Yes"
"Red-River","Winnipeg","Canada","Jan/may/Sep","Diploma in Business Administration","INR 5.58L","2 yrs","35%","6.5","21","58","INR 4L","No","Yes","Yes","Yes","Yes"
"University-of-Manitoba","Winnipeg","Canada","Jan/may","Bachelor of Science, Honours in Chemistry","INR 12.75L","4 yrs","35%","6.5","86","58","INR 8.9L","Yes(Max upto 2cr)","Yes","Yes","Yes","Yes"
"University-of-Manitoba","Winnipeg","Canada","Jan/may","Bachelor of Science, Honours Physics and Astronomy","INR 12.75L","4 yrs","35%","6.5","86","58","INR 8L","Yes(Max upto 2cr)","Yes","Yes","Yes","Yes"
"University-of-Manitoba","Winnipeg","Canada","Jan/may","Bachelor of Science, Honours in Mathematics","INR 10.88L","4 yrs","35%","6.5","86","58","INR 7.4L","Yes(Max upto 2cr)","Yes","Yes","Yes","Yes"
"University-of-Manitoba","Winnipeg","Canada","Jan/may","Bachelor of Science in Computer Engineering","INR 10.77L","4 yrs","80%","6","86","58","INR 7.9L","Yes(Max upto 2cr)","Yes","Yes","Yes","Yes"
"Mount-Allison-University","Sackville","Canada","Jan/ Sep","BSc Psychology (Hons)","INR 12.21L","4 yrs","65%","6.5","90","","INR 9.6L","Yes(Max upto 7.3l)","Yes","Yes","Yes","Yes"
"Mount-Allison-University","Sackville","Canada","Jan/ Sep","B.Sc. in Computer Science","INR 12.2L","4 yrs","65%","6.5","90","","INR 8.8L","Yes(Max upto 7.3l)","Yes","Yes","Yes","Yes"
"Mount-Allison-University","Sackville","Canada","Jan/ Sep","BA in Geocomputing","INR 11.51L","4 yrs","65%","6.5","90","","","Yes(Max upto 7.3l)","Yes","Yes","Yes","Yes"
"Mount-Allison-University","Sackville","Canada","Jan/ Sep","BSc in Aviation","INR 10.25L","4 yrs","65%","6.5","90","","INR 11.37","Yes(Max upto 7.3l)","Yes","Yes","Yes","Yes"
"Mount-Allison-University","Sackville","Canada","Jan/ Sep","Bachelor of Commerce in Economics","INR 12.21L","4 yrs","65%","6.5","90","","INR 9.6L","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/May/Sep","Diploma in Emergency Management","INR 10.31L","2 yrs","35%","6.5","80","59","INR 6.85L","Yes(Max upto 30.4k)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/Sep","Bachelor of Health Sciences (Public Health)","INR 12.17L","4 yrs","35%","6.5","80","59","INR 7.11L","Yes(Max upto 4.6L)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/May/Sep","BSc Human Nutrition (Transfer)","INR 12.17L","2 yrs","35%","6.5","80","59","INR 7.11L","Yes(Max upto 4.6L)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/May/Sep","Bachelor of Engineering in Technology- Petroleum","INR 12.17L","3 yrs","35%","6.5","80","59","INR 7.11L","Yes(Max upto 4.6L)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/May/Sep","Bachelor of Engineering Technology in Manufacturing","INR 12.17L","3 yrs","35%","6.5","80","59","INR 7.25L","Yes(Max upto 4.6L)","Yes","Yes","Yes","Yes"
"CAPE-BRETON-UNIVERSITY","Sydney","Canada","Jan/May/Sep","Bachelor of Business Administration in Accounting","INR 12.17L","4 yrs","35%","6.5","80","59","INR 7.25L","Yes(Max upto 4.6L)","Yes","Yes","Yes","Yes"
"Acadia-University","Wolfville","Canada","Jan/ Sep","Bachelor of Arts-Legal","INR 11L","4 yrs","60%","6.5","90","61","INR 7L","Yes(Max upto 6.1L)","Yes","Yes","Yes","Yes"
"Acadia-University","Wolfville","Canada","Jan/ Sep","BACS with Game Development","INR 12.66L","4 yrs","60%","6.5","90","61","INR 8.04L","Yes(Max upto 6.1L)","Yes","Yes","Yes","Yes"
"Acadia-University","Wolfville","Canada","Jan/ Sep","BA Economics with Computer Science","INR 12.66L","4 yrs","60%","6.5","90","61","INR 8.24L","Yes(Max upto 6.1L)","Yes","Yes","Yes","Yes"
"Mount-Saint-Vincent-University","Halifax","Canada","Jan/may/ Sep","Bachelor of Tourism and Hospitality Management Degree","INR 5.39L","4 yrs","70%","6.5","90","","INR 8.75L","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Mount-Saint-Vincent-University","Halifax","Canada","Jan/may/ Sep","Bachelors of Science in Computer Science","INR 5.53L","4 yrs","35%","6.5","90","","INR 7.48","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Mount-Saint-Vincent-University","Halifax","Canada","Jan/may/ Sep","Bachelor of Business Administration","INR 5.39L","4 yrs","70%","6.5","90","","INR 8.75L","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Mount-Saint-Vincent-University","Halifax","Canada","Jan","Bachelors in Applied Human Nutrition","INR 10.79L","4 yrs","70%","6.5","90","","INR 7.27L","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Mount-Saint-Vincent-University","Halifax","Canada","Jan/may/ Sep","Bachelor of Science in Statistics","INR 10.79L","4 yrs","70%","6.5","90","","INR 7.27L","Yes(Max upto 10L)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Bachelor of Information Technology (Computer and Communication Networks), Honours","INR 12.74L","4 yrs","35%","6.5","88","60","INR 6.18L","Yes(Max upto 60K)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Advance Diploma in Automation and Robotics - Electro-Mechanical Engineering Technology","INR 11.43L","2 yrs","35%","6","80","51","INR 6.54L","Yes(Max upto 60K)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Diploma in Tourism","INR 10.93L","2 yrs","35%","6","80","51","INR 6.54L","Yes(Max upto 60K)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Diploma in Architectural Technician","INR 10.71L","2 yrs","35%","6","80","51","INR 5.90L","Yes(Max upto 60.8K)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Diploma in Financial Services","INR 10.06L","2 yrs","35%","6","80","51","INR 5.93L","Yes(Max upto 3L)","Yes","Yes","Yes","Yes"
"Centennial-college","Toronto","Canada","Jan/May/Sep","Undergraduate Diploma in Digital Visual Effects","INR 10.06L","2 yrs","35%","6","80","51","INR 5.91L","No","Yes","Yes","Yes","Yes"
"St-Lawrence-college","Kingston","Canada","Jan/May/Sep","Bachelor of Business Administration","INR 12.96L","4 yrs","65%","6.5","88","60","INR 8.86L","Yes(Max upto 60.4K)","Yes","Yes","Yes","Yes"
"St-Lawrence-college","Kingston","Canada","Jan/May/Sep","Diploma in Hospitality","INR 9.67L","2 yrs","35%","6","78","55","INR 8.87L","Yes(Max upto 60.8K)","Yes","Yes","Yes","Yes"
"St-Lawrence-college","Kingston","Canada","Jan/May/Sep","Diploma in Business Marketing","INR 9.65L","2 yrs","35%","6","78","55","INR 8.92L","Yes(Max upto 60.8K)","Yes","Yes","Yes","Yes"
